experiment,scenario,sample_size,start,replications,target,output
core,nsn_p2_moderate_balanced,500,0,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0000.csv
core,nsn_p2_moderate_balanced,500,50,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0050.csv
core,nsn_p2_moderate_balanced,500,100,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0100.csv
core,nsn_p2_moderate_balanced,500,150,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0150.csv
core,nsn_p2_moderate_balanced,500,200,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0200.csv
core,nsn_p2_moderate_balanced,500,250,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0250.csv
core,nsn_p2_moderate_balanced,500,300,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0300.csv
core,nsn_p2_moderate_balanced,500,350,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0350.csv
core,nsn_p2_moderate_balanced,500,400,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0400.csv
core,nsn_p2_moderate_balanced,500,450,50,results/targets/confirmatory_v2/nsn_p2_moderate_balanced_summary.csv,results/raw/confirmatory_v2/core/nsn_p2_moderate_balanced_n500_start0450.csv
