scenario,reference_size,replications,output_dir
nsn_p10_moderate_balanced,100000,5,results/targets/confirmatory_v2
nsn_p2_moderate_balanced,100000,10,results/targets/confirmatory_v2
nsn_p2_moderate_imbalanced,100000,10,results/targets/confirmatory_v2
nsn_p2_separated_balanced,100000,10,results/targets/confirmatory_v2
nsn_p2_strong_balanced,100000,10,results/targets/confirmatory_v2
nsn_p5_moderate_balanced,100000,10,results/targets/confirmatory_v2
nsn_p5_separated_balanced,100000,10,results/targets/confirmatory_v2
nsn_p5_strong_balanced,100000,10,results/targets/confirmatory_v2
nt_p10_moderate_balanced,100000,5,results/targets/confirmatory_v2
nt_p2_moderate_balanced,100000,10,results/targets/confirmatory_v2
nt_p2_moderate_imbalanced,100000,10,results/targets/confirmatory_v2
nt_p2_separated_balanced,100000,10,results/targets/confirmatory_v2
nt_p2_strong_balanced,100000,10,results/targets/confirmatory_v2
nt_p5_moderate_balanced,100000,10,results/targets/confirmatory_v2
nt_p5_separated_balanced,100000,10,results/targets/confirmatory_v2
nt_p5_strong_balanced,100000,10,results/targets/confirmatory_v2
ntsn_p2_moderate_balanced,100000,10,results/targets/confirmatory_v2
ntsn_p5_moderate_balanced,100000,10,results/targets/confirmatory_v2
