scenario,n,replication,status,method,bandwidth_multiplier,coordinate,coordinate_name,estimate,target,target_mcse,error,squared_error,estimated_se,coverage_95,interval_width_95,curvature_min_eigenvalue,fit_seconds,fit_initialization,fit_classification_objective,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight,minimum_kernel_support,bandwidth_diagnostics,boundary_shrinkage_factor,raw_generalized_boundary_eigenvalue,error_message
nsn_p2_strong_balanced,8000,116,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,21.03049808400101,gmm,-3.1782084852428127,0.0,4.0,4.0,True,0.488625,,,1.0,1.2080377347422362,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00412225.
nsn_p2_strong_balanced,8000,116,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,21.03049808400101,gmm,-3.1782084852428127,0.0,4.0,4.0,True,0.488625,,,1.0,1.068073063483216,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000767357.
nsn_p2_strong_balanced,8000,216,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,22.99266152401105,kmeans,-3.194893137486324,0.0159890046804278,4.0,4.0,True,0.48175,,,1.0,1.0522207586299237,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000994538.
nsn_p2_strong_balanced,8000,381,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,21.61927329399623,gmm,-3.182997759639237,2.857765363684095e-05,4.0,4.0,True,0.478125,,,1.0,1.3173897354631936,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00316826.
nsn_p2_strong_balanced,8000,381,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,21.61927329399623,gmm,-3.182997759639237,2.857765363684095e-05,4.0,4.0,True,0.478125,,,1.0,1.1632579881945078,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00124542.
nsn_p2_strong_balanced,8000,429,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,32.06419214900234,kmeans,-3.186618880377472,0.0171236257507816,4.0,4.0,True,0.474,,,1.0,1.130445715726665,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000728387.
nsn_p2_strong_balanced,8000,443,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,20.4062460080022,kmeans,-3.180305049161525,0.0002311725426897,4.0,4.0,True,0.481125,,,1.0,1.241612859171961,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00178381.
nsn_p2_strong_balanced,8000,443,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,20.4062460080022,kmeans,-3.180305049161525,0.0002311725426897,4.0,4.0,True,0.481125,,,1.0,1.0761860564738095,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000463904.
nsn_p2_strong_balanced,8000,471,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,25.004965804022504,kmeans,-3.2014950002812186,0.0131862739187753,4.0,4.0,True,0.47575,,,1.0,1.1879912033786133,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00114302.
nsn_p2_strong_balanced,8000,491,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,27.00759905599989,gmm,-3.186571874274141,3.515466776526921e-05,4.0,4.0,True,0.47525,,,1.0,1.161945926520068,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0965166.
nsn_p2_strong_balanced,8000,491,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,27.00759905599989,gmm,-3.186571874274141,3.515466776526921e-05,4.0,4.0,True,0.47525,,,1.0,1.1116234277614931,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0567723.
nsn_p2_strong_balanced,8000,491,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,27.00759905599989,gmm,-3.186571874274141,3.515466776526921e-05,4.0,4.0,True,0.47525,,,1.0,1.06446315822403,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0286093.
nt_p2_strong_balanced,8000,10,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,26.107490252004936,kmeans,-3.550249777457476,0.0205234777174827,4.0,4.0,True,0.485875,,,1.0,1.0009208031302763,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000273036.
nt_p2_strong_balanced,8000,10,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,26.107490252004936,kmeans,-3.550249777457476,0.0205234777174827,4.0,4.0,True,0.485875,,,1.0,1.0017915543205065,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000536222.
