scenario,n,method,bandwidth_multiplier,coordinate,coordinate_name,replications,bias,bias_mcse,rmse,empirical_sd,mean_estimated_se,median_estimated_se,se_to_empirical_sd,coverage_95,coverage_mcse,mean_interval_width_95,minimum_curvature_eigenvalue,mean_fit_seconds,mean_boundary_shrinkage_factor,stabilization_frequency,median_minimum_kernel_support,selected_admissible_rate
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,0.0,weight_logit_1_vs_2,329.0,0.004296535280987156,0.003559142850999552,0.06460185372660832,0.0645570041693942,0.08435859128036437,0.0633006607095593,1.3067302667734062,0.9483282674772037,0.012204160506995696,0.33068567781902847,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,1.0,component_1_normal_coordinate_0,329.0,0.14515279308270887,0.028919125345157202,0.543489576035084,0.524545423895598,0.05446408628473206,0.0445505436442646,0.10383101978137212,0.8632218844984803,0.018943995417413744,0.21349921823614978,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,2.0,component_1_normal_coordinate_1,329.0,0.06203073004872734,0.012873133721257167,0.2412533419924766,0.2334974970400458,0.050151815341009605,0.0451188667090764,0.2147852374297972,0.8601823708206687,0.019119577305008482,0.1965951161367577,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,3.0,component_1_normal_coordinate_2,329.0,0.10567976292077037,0.020113558711818344,0.379291882777136,0.3648269114164801,0.05685108274161947,0.044931303459927,0.1558302881793697,0.9027355623100304,0.016336513157970956,0.22285624434714849,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,4.0,component_1_normal_coordinate_3,329.0,0.09820756541726121,0.019773371974735863,0.37133302085809977,0.3586564828825316,0.05335961846340252,0.0449171684917708,0.14877639471214868,0.8632218844984803,0.018943995417413744,0.20916970437653798,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,5.0,component_1_normal_coordinate_4,329.0,0.09584688669605616,0.019789134934478213,0.3709914557595121,0.3589423970760356,0.051374456589778884,0.0449354304987538,0.14312730122793524,0.8814589665653495,0.017821220985302255,0.20138786983193338,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,6.0,component_1_normal_coordinate_5,329.0,0.10379411888888583,0.01940546973265593,0.3664545250569141,0.3519833406204239,0.05547541841484403,0.0450472605435702,0.157608079737695,0.8419452887537994,0.020111650323148777,0.21746364018618872,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,7.0,component_1_normal_coordinate_6,329.0,0.10042979086333206,0.01957170377490732,0.3684115415821622,0.35499855304880523,0.04895257034118383,0.0449692250656949,0.13789512639070906,0.8693009118541033,0.018583323937949297,0.19189407573744074,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,8.0,component_1_normal_coordinate_7,329.0,0.0960583348057387,0.019818061456023738,0.3715521865425689,0.3594670766548549,0.05472507917672844,0.0449483495160947,0.15223947540896257,0.8693009118541033,0.018583323937949297,0.21452231037277564,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,9.0,component_1_normal_coordinate_8,329.0,0.09402648690767493,0.01930539646961718,0.3620580525478012,0.3501681760345397,0.051356073651632514,0.0450162926209899,0.14666116787999284,0.8996960486322189,0.016561855018838258,0.20131580871439966,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,10.0,component_1_normal_coordinate_9,329.0,0.1026898230617868,0.019684095937584946,0.370989583876848,0.35703716223600007,0.05632893027837147,0.0452316835704427,0.1577676954566939,0.8723404255319149,0.018398047959980103,0.22080940669121626,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,11.0,component_1_normal_coordinate_10,329.0,-0.02447903156416364,0.004456866916225163,0.08434752133200116,0.08084024388410793,0.03672151841196317,0.0316760526730487,0.4542479914410811,0.8844984802431611,0.017621563769943192,0.14394835217489577,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,12.0,component_1_normal_coordinate_11,329.0,-0.0028688065568605522,0.00251712243070399,0.04567720437678828,0.04565646563138013,0.04897368316389886,0.0444791804591403,1.0726560299104444,0.9483282674772037,0.012204160506995696,0.19197683800248366,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,13.0,component_1_normal_coordinate_12,329.0,-0.0045908006564630045,0.002395490532963995,0.04362639586009766,0.04345026282967829,0.035087588754172075,0.0317000673164466,0.8075345571950334,0.8905775075987842,0.01721040988421661,0.13754334791635472,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,14.0,component_1_normal_coordinate_13,329.0,-0.0038276845385757075,0.0028379619051348785,0.05154000658833637,0.05147596660553296,0.05515631388378369,0.0450713956652119,1.0714964190270326,0.8875379939209727,0.017418006201153708,0.21621275042443228,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,15.0,component_1_normal_coordinate_14,329.0,-0.02690311905242141,0.006159827624546228,0.11475730069229151,0.11172915341931312,0.048704512346813535,0.0439763858572061,0.4359158810058131,0.8936170212765957,0.016998626849722583,0.19092168839950918,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,16.0,component_1_normal_coordinate_15,329.0,-0.0016650372645426815,0.0018475917075906911,0.03350270955881733,0.033512278254516595,0.03848057484679976,0.0317387344181793,1.1482530239976616,0.939209726443769,0.013173476183737315,0.1508438533994552,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,17.0,component_1_normal_coordinate_16,329.0,0.003435774002850308,0.0026341853831457944,0.04783068519841755,0.047779795271477216,0.053746657642591074,0.0449620883883432,1.1248825437030672,0.9331306990881459,0.013771672338140353,0.2106868979589572,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,18.0,component_1_normal_coordinate_17,329.0,-0.010949418096115661,0.0024004570747065386,0.04483179054628928,0.043540347737591106,0.04822566180961135,0.0449416977625712,1.1076085588534499,0.9422492401215805,0.01286067609815973,0.18904459429367662,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,19.0,component_1_normal_coordinate_18,329.0,-0.024500004222887846,0.0060223460583984385,0.11178715524769672,0.10923546367136577,0.0524299141544092,0.0438644960789435,0.4799715439680311,0.8996960486322189,0.016561855018838258,0.20552526348528416,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,20.0,component_1_normal_coordinate_19,329.0,-0.004778121421060405,0.0017545360805067967,0.03213323223195596,0.031824402055910674,0.03499297806709001,0.0316967780719138,1.0995643533415844,0.9513677811550152,0.01185873360527875,0.13717247402299296,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
nsn_p10_moderate_balanced,1000,corrected_raw,0.75,21.0,component_1_normal_coordinate_20,329.0,0.002264934606854683,0.0025611072402239175,0.046438890876478366,0.04645427781550483,0.05152001829916754,0.0445616379925541,1.1090478793746728,0.9331306990881459,0.013771672338140353,0.2019584717327369,4.254979919882478e-05,9.275604428505485,1.0,0.0,0.0,1.0
