scenario,n,fit_failures,planned_replications,fit_failure_rate
nsn_p10_moderate_balanced,1000,38.0,500.0,0.076
nsn_p2_moderate_balanced,500,7.0,1000.0,0.007
nsn_p2_moderate_balanced,2000,2.0,1000.0,0.002
nsn_p2_moderate_imbalanced,500,7.0,1000.0,0.007
nsn_p2_moderate_imbalanced,2000,0.0,1000.0,0.0
nsn_p2_separated_balanced,500,16.0,1000.0,0.016
nsn_p2_separated_balanced,2000,3.0,1000.0,0.003
nsn_p2_strong_balanced,500,3.0,1000.0,0.003
nsn_p2_strong_balanced,2000,0.0,1000.0,0.0
nsn_p5_moderate_balanced,500,64.0,1000.0,0.064
nsn_p5_moderate_balanced,2000,11.0,1000.0,0.011
nsn_p5_separated_balanced,500,59.0,1000.0,0.059
nsn_p5_separated_balanced,2000,13.0,1000.0,0.013
nsn_p5_strong_balanced,500,46.0,1000.0,0.046
nsn_p5_strong_balanced,2000,13.0,1000.0,0.013
nt_p10_moderate_balanced,1000,0.0,500.0,0.0
nt_p2_moderate_balanced,500,0.0,1000.0,0.0
nt_p2_moderate_balanced,2000,0.0,1000.0,0.0
nt_p2_moderate_imbalanced,500,0.0,1000.0,0.0
nt_p2_moderate_imbalanced,2000,0.0,1000.0,0.0
nt_p2_separated_balanced,500,0.0,1000.0,0.0
nt_p2_separated_balanced,2000,0.0,1000.0,0.0
nt_p2_strong_balanced,500,0.0,1000.0,0.0
nt_p2_strong_balanced,2000,0.0,1000.0,0.0
nt_p5_moderate_balanced,500,0.0,1000.0,0.0
nt_p5_moderate_balanced,2000,0.0,1000.0,0.0
nt_p5_separated_balanced,500,0.0,1000.0,0.0
nt_p5_separated_balanced,2000,0.0,1000.0,0.0
nt_p5_strong_balanced,500,0.0,1000.0,0.0
nt_p5_strong_balanced,2000,0.0,1000.0,0.0
ntsn_p2_moderate_balanced,1000,8.0,1000.0,0.008
ntsn_p5_moderate_balanced,1000,44.0,1000.0,0.044
