scenario,n,replications_with_any_raw_failure
nsn_p10_moderate_balanced,1000,161
nsn_p2_moderate_balanced,500,78
nsn_p2_moderate_balanced,2000,29
nsn_p2_moderate_imbalanced,500,54
nsn_p2_moderate_imbalanced,2000,19
nsn_p2_separated_balanced,500,22
nsn_p2_separated_balanced,2000,8
nsn_p2_strong_balanced,500,179
nsn_p2_strong_balanced,2000,81
nsn_p5_moderate_balanced,500,180
nsn_p5_moderate_balanced,2000,109
nsn_p5_separated_balanced,500,32
nsn_p5_separated_balanced,2000,19
nsn_p5_strong_balanced,500,250
nsn_p5_strong_balanced,2000,164
nt_p10_moderate_balanced,1000,372
nt_p2_moderate_balanced,500,73
nt_p2_moderate_balanced,2000,13
nt_p2_moderate_imbalanced,500,159
nt_p2_moderate_imbalanced,2000,79
nt_p2_separated_balanced,500,44
nt_p2_separated_balanced,2000,10
nt_p2_strong_balanced,500,142
nt_p2_strong_balanced,2000,81
nt_p5_moderate_balanced,500,346
nt_p5_moderate_balanced,2000,96
nt_p5_separated_balanced,500,154
nt_p5_separated_balanced,2000,52
nt_p5_strong_balanced,500,409
nt_p5_strong_balanced,2000,165
ntsn_p2_moderate_balanced,1000,147
ntsn_p5_moderate_balanced,1000,487
