scenario,n,method,usable_replications,median_absolute_bias,median_se_to_sd,median_coverage,mean_coverage,median_interval_width,stabilization_frequency
nsn_p10_moderate_balanced,1000,corrected_stabilized,462.0,0.0047515827631035,1.0296152973305617,0.9415584415584416,0.9263455220902029,0.1871179651520645,0.3463203463203463
nsn_p10_moderate_balanced,1000,naive,462.0,0.0047515827631035,0.9702421275910692,0.9372294372294372,0.9196371004881643,0.1752149942766371,0.0
nsn_p2_moderate_balanced,500,corrected_stabilized,993.0,0.0973873697105967,0.5650647215138078,0.8721047331319235,0.8684638624215663,0.3395918860163508,0.0845921450151057
nsn_p2_moderate_balanced,500,naive,993.0,0.0973873697105967,0.5167014063321749,0.8630412890231621,0.8576961809590209,0.3139416101316668,0.0
nsn_p2_moderate_balanced,2000,corrected_stabilized,998.0,0.012459411999129,0.7477542185875661,0.93687374749499,0.9385694465854786,0.1666960959879568,0.0290581162324649
nsn_p2_moderate_balanced,2000,naive,998.0,0.012459411999129,0.6503171255386626,0.9228456913827656,0.9257746261754278,0.1561050929360401,0.0
nsn_p2_moderate_imbalanced,500,corrected_stabilized,993.0,0.0628243629381303,0.5272780105161416,0.8892245720040282,0.8920133240374931,0.3916694227112244,0.0634441087613293
nsn_p2_moderate_imbalanced,500,naive,993.0,0.0628243629381303,0.5022066920130606,0.8801611278952669,0.884731582616779,0.365425598674636,0.0
nsn_p2_moderate_imbalanced,2000,corrected_stabilized,1000.0,0.0030833844086541,0.8046246526191866,0.946,0.9443076923076923,0.2027489761524557,0.027
nsn_p2_moderate_imbalanced,2000,naive,1000.0,0.0030833844086541,0.7377302034462926,0.939,0.9331538461538462,0.1879096403098089,0.0
nsn_p2_separated_balanced,500,corrected_stabilized,984.0,0.0812057906121537,0.5573218027108092,0.8892276422764228,0.8831300813008129,0.3187261540623369,0.024390243902439
nsn_p2_separated_balanced,500,naive,984.0,0.0812057906121537,0.5347038190773187,0.8882113821138211,0.8821138211382115,0.3158437464528298,0.0
nsn_p2_separated_balanced,2000,corrected_stabilized,997.0,0.0039828544694172,0.9751934560514433,0.9448345035105316,0.9411310855643854,0.1499277353543803,0.0060180541624874
nsn_p2_separated_balanced,2000,naive,997.0,0.0039828544694172,0.9663557893989094,0.9428284854563692,0.939356531131857,0.1482066056000739,0.0
nsn_p2_strong_balanced,500,corrected_stabilized,997.0,0.1771005745818248,0.6126970385234217,0.7763289869608826,0.7869763135560527,0.4065868284288836,0.2497492477432296
nsn_p2_strong_balanced,500,naive,997.0,0.1771005745818248,0.4839327508493167,0.7522567703109327,0.7460072525268112,0.3385527955651914,0.0
nsn_p2_strong_balanced,2000,corrected_stabilized,1000.0,0.0243349068776549,0.7623787811224729,0.922,0.9187692307692308,0.1785883221618397,0.138
nsn_p2_strong_balanced,2000,naive,1000.0,0.0243349068776549,0.5732418477509915,0.868,0.8621538461538462,0.1556112287186604,0.0
nsn_p5_moderate_balanced,500,corrected_stabilized,936.0,0.0194259691281719,0.9778447854874435,0.9043803418803419,0.880527684875511,0.41936968678112196,0.1965811965811965
nsn_p5_moderate_balanced,500,naive,936.0,0.0194259691281719,0.9337108698848805,0.8936965811965812,0.8716555183946488,0.3870927026343647,0.0
nsn_p5_moderate_balanced,2000,corrected_stabilized,989.0,0.00458477974333415,0.9940833136219951,0.9433771486349848,0.9424539499714248,0.14881372583898925,0.1193124368048533
nsn_p5_moderate_balanced,2000,naive,989.0,0.00458477974333415,0.8919078471354516,0.9332659251769464,0.9304963291862663,0.13025615214711156,0.0
