coordinate,bias,empirical_sd,mean_naive_se,mean_corrected_se,mean_bootstrap_se,naive_coverage,corrected_coverage,bootstrap_coverage
0,0.001808858979079143,0.18802869300311986,0.1158940494139218,0.1622527758455233,0.24213633957977498,1.0,1.0,1.0
1,0.018841882114776887,0.0666795293656927,0.08173040428964996,0.11216408384958777,0.552472644440585,1.0,1.0,1.0
2,0.025789896771447385,0.05939303024147681,0.08094751504131045,0.11755375499462639,0.5973671847092396,1.0,1.0,1.0
3,0.015756360861642327,0.13079398706668163,0.05395080106679157,0.0711004109449446,0.0957714664498716,0.3333333333333333,1.0,1.0
4,-0.09112604397399149,0.10107583655806184,0.07471263606209941,0.11228454065128259,0.09320306526488921,0.6666666666666666,1.0,0.6666666666666666
5,0.029037827471611623,0.052099068137194886,0.053491551929915,0.07407183470359407,0.05390051091442593,1.0,1.0,0.6666666666666666
6,-0.13981671393056994,0.04864269484543292,0.10306587211766806,0.13117626547170752,0.5593802572852565,1.0,1.0,1.0
7,0.0005457871456702179,0.07009397753248094,0.09237662828428207,0.11530899325343698,0.6038671240756878,1.0,1.0,1.0
8,0.05498209211967819,0.006743826806431854,0.07582894262560319,0.08931380718556847,0.1200917096934458,1.0,1.0,1.0
9,-0.051244866978169955,0.06537017763685882,0.09511527288658468,0.12891903596523682,0.11899820070848859,1.0,1.0,1.0
10,-0.016093294170178327,0.0413697870428437,0.07741832783819387,0.0894066839196741,0.09637349407571592,1.0,1.0,1.0
11,-0.09447567551370906,0.42856157906786974,0.47346498939359166,0.5031287786581352,0.46018636041235556,1.0,1.0,1.0
