dataset,family,p,n,pca_variance_explained,status,classification_objective,objective_gap,minimum_weight,selected_admissible,initialization,ari_external_labels,minimum_kernel_support,median_se_inflation,maximum_se_inflation,boundary_shrinkage_factor,raw_generalized_boundary_eigenvalue,stabilized_minimum_curvature_eigenvalue,error_message
breast_cancer,normal_t,2,569,0.6324320765155944,success,-4.739583767192416,4.014252249895378e-05,0.3655536028119508,True,kmeans,0.6542618369913092,1.0,1.0041622479506376,1.0803145166583685,1.0,0.1577139226101531,0.009516671312479175,
breast_cancer,normal_skewnormal,2,569,0.6324320765155944,success,-4.719899434432356,0.004824401081176433,0.38312829525483305,True,gmm,0.6546504357366307,5.0,1.0427731365742128,1.291427184099962,1.0,0.4665872749161434,0.00038983683166748023,
breast_cancer,normal_t,5,569,0.8473427431680723,success,-9.630794968082956,0.07820837124780589,0.4780316344463972,True,kmeans,0.4568617876585128,6.0,1.106485437478261,2.504786100263086,0.8842677900516005,0.8993326920019781,0.029605120436850756,
breast_cancer,normal_skewnormal,5,569,0.8473427431680723,success,-9.629159750044835,0.022176443902941045,0.4833040421792619,True,gmm,0.46166701897284007,8.0,1.0630661432192605,2.5332281852008167,0.8109687570986105,0.9806184580068189,0.000437966965152355,
wine,normal_t,2,178,0.5540633835693531,success,-3.6284593801443927,0.0023083671382764237,0.3651685393258427,True,kmeans,0.38872424979619347,2.0,1.41759243288877,2.30814442159164,0.7990834981119573,0.9088214658604206,0.001635429866376497,
wine,normal_skewnormal,2,178,0.5540633835693531,success,-3.5923146175637988,0.0,0.4887640449438202,True,gmm,0.37431449262136857,2.0,1.0953962312002914,2.1795569710485347,0.8517139447344784,0.8526621415425832,0.0009273726406698326,
wine,normal_t,5,178,0.8016229275554789,success,-7.650077358573471,0.0,0.42134831460674155,True,gmm,0.3590387306203208,1.0,1.0240563297933947,1.1864774286067774,1.0,0.5080120227408871,0.04049399902745147,
wine,normal_skewnormal,5,178,0.8016229275554789,success,-7.5735280987223055,0.0691352228515143,0.46629213483146065,False,gmm,0.3568499216576674,1.0,1.019845005162174,1.7952661493009414,0.401842267531073,1.8072370548795627,2.2668319918959017e-05,
digits_0_1,normal_t,2,360,0.44388304003156875,success,-4.2527889770416385,0.0,0.49166666666666664,True,kmeans,0.988888814745925,0.0,1.0,1.0,1.0,0.0,0.006003428729384674,
digits_0_1,normal_skewnormal,2,360,0.44388304003156875,success,-4.158389479530491,0.0008005541672595484,0.49166666666666664,False,gmm,0.988888814745925,0.0,1.0,1.0,1.0,0.0,0.00016790980290058366,
digits_0_1,normal_t,5,360,0.6401783995723609,success,-9.024101374946074,0.0,0.49722222222222223,True,kmeans,0.9888888074231096,0.0,1.0,1.0,1.0,0.0,0.03365381263071134,
digits_0_1,normal_skewnormal,5,360,0.6401783995723609,failed,,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000149394.
dry_bean_cali_barbunya,normal_t,2,2952,0.7540626050800995,success,-4.6203984667634455,0.006639884798474327,0.23373983739837398,True,kmeans,0.2819052402256608,44.0,1.6496016242678877,2.600855690311267,1.0,0.811375476171086,0.003896710132262275,
dry_bean_cali_barbunya,normal_skewnormal,2,2952,0.7540626050800995,success,-4.573420859756249,0.006857432611140801,0.34010840108401086,False,gmm,0.43286844170256833,13.0,1.081667111076464,2.1637302972368313,1.0,0.7750274701948583,1.81314604615003e-05,
dry_bean_cali_barbunya,normal_t,5,2952,0.9874944028449056,success,-8.557721932097683,1.3618090148881379e-05,0.43766937669376693,True,kmeans,0.8143035035124491,25.0,1.1584492089293537,2.031078653716599,1.0,0.7819033157289327,0.020603672349003035,
dry_bean_cali_barbunya,normal_skewnormal,5,2952,0.9874944028449056,success,-8.49652192884732,0.06368365079815952,0.41260162601626016,True,gmm,0.7899853620185185,14.0,1.044564201176599,1.1664483895464204,1.0,0.5095956190319932,0.00038166653324261463,
dry_bean_dermason_seker,normal_t,2,5573,0.8047014496121485,success,-4.550558707720991,0.0,0.3448770859501166,True,kmeans,0.8666307285636845,33.0,1.2841698051991042,1.6470281005424696,1.0,0.664162412626244,0.005415761317230269,
dry_bean_dermason_seker,normal_skewnormal,2,5573,0.8047014496121485,success,-4.53764843204792,0.00010556673674066985,0.36371792571326034,True,kmeans,0.8857795489980593,24.0,1.7818411648513872,3.78545659636041,0.9747004354354947,0.9072136394292705,0.0037150017795219287,
dry_bean_dermason_seker,normal_t,5,5573,0.9893586307249828,success,-7.953738270336098,0.0,0.33787905975237753,True,kmeans,0.8246054719856202,21.0,1.180389241433787,7.434692925428035,0.6640394317827327,1.3316400910270816,0.040526706641083925,
dry_bean_dermason_seker,normal_skewnormal,5,5573,0.9893586307249828,failed,,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00011952.
dry_bean_horoz_sira,normal_t,2,4564,0.8191860118584526,success,-4.331100538619647,1.3990087017745623e-06,0.42221735319894826,True,gmm,0.9083486581605962,12.0,1.04023535122035,1.1085103563185996,1.0,0.2707396281629428,0.0024822175265157456,
dry_bean_horoz_sira,normal_skewnormal,2,4564,0.8191860118584526,success,-4.326765054096721,8.0372989003763e-05,0.41695880806310254,True,kmeans,0.9016650886169395,14.0,1.076725801293092,1.1969386222619438,1.0,0.4306035572273142,0.006784451370084663,
dry_bean_horoz_sira,normal_t,5,4564,0.9919022151925184,success,-7.420842504499922,2.6353078752094916e-05,0.4404031551270815,True,gmm,0.8629831794195225,12.0,1.070914238740005,1.2700130293825012,1.0,0.5672474147723258,0.02784454908899607,
dry_bean_horoz_sira,normal_skewnormal,5,4564,0.9919022151925184,failed,,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-9.51594e-05.
