scenario,coordinate,coordinate_name,target,target_mcse,reference_size,successful_references,failed_references
nsn_p10_moderate_balanced,0,coordinate_0,-0.07818515088155376,0.004185604385442605,100000,5,0
nsn_p10_moderate_balanced,1,coordinate_1,-0.5351353168445573,0.000962358206099217,100000,5,0
nsn_p10_moderate_balanced,2,coordinate_2,-0.49211690437385425,0.0021528090447783532,100000,5,0
nsn_p10_moderate_balanced,3,coordinate_3,-0.5068309864321229,0.0032040802237684714,100000,5,0
nsn_p10_moderate_balanced,4,coordinate_4,-0.5092038858831522,0.0018248046864448029,100000,5,0
nsn_p10_moderate_balanced,5,coordinate_5,-0.5062697791290474,0.002803757094499949,100000,5,0
nsn_p10_moderate_balanced,6,coordinate_6,-0.5108269598250134,0.002429426795312132,100000,5,0
nsn_p10_moderate_balanced,7,coordinate_7,-0.5086770132456666,0.0017498978959912994,100000,5,0
nsn_p10_moderate_balanced,8,coordinate_8,-0.5088262087602289,0.0017898124186414915,100000,5,0
nsn_p10_moderate_balanced,9,coordinate_9,-0.5072682577441248,0.0019649026341545923,100000,5,0
nsn_p10_moderate_balanced,10,coordinate_10,-0.5033931358297845,0.0020130663165710003,100000,5,0
nsn_p10_moderate_balanced,11,coordinate_11,-0.03124366009685999,0.0014570982720041844,100000,5,0
nsn_p10_moderate_balanced,12,coordinate_12,0.2367484735368086,0.0018094237197341337,100000,5,0
nsn_p10_moderate_balanced,13,coordinate_13,-0.029999371469095797,0.0011186037483773997,100000,5,0
nsn_p10_moderate_balanced,14,coordinate_14,0.026359493971391524,0.002559000321306967,100000,5,0
nsn_p10_moderate_balanced,15,coordinate_15,0.24750774985898644,0.001924358333253356,100000,5,0
nsn_p10_moderate_balanced,16,coordinate_16,-0.04116047429912274,0.0007971588808817002,100000,5,0
nsn_p10_moderate_balanced,17,coordinate_17,-0.030381786880285522,0.0014092541719281373,100000,5,0
nsn_p10_moderate_balanced,18,coordinate_18,0.06372746906818916,0.001703167930672121,100000,5,0
