scenario,coordinate,coordinate_name,target,target_mcse,reference_size,successful_references,failed_references
nsn_p2_moderate_imbalanced,0,coordinate_0,-1.5333142888317262,0.0029619318919101236,100000,10,0
nsn_p2_moderate_imbalanced,1,coordinate_1,-1.2665415367203132,0.002418173671215097,100000,10,0
nsn_p2_moderate_imbalanced,2,coordinate_2,-1.1372684888151068,0.002399989140379263,100000,10,0
nsn_p2_moderate_imbalanced,3,coordinate_3,-0.17951136561673456,0.0013759830614633703,100000,10,0
nsn_p2_moderate_imbalanced,4,coordinate_4,0.15557749752846778,0.0028125678282924387,100000,10,0
nsn_p2_moderate_imbalanced,5,coordinate_5,-0.014822272954065113,0.002320336080253159,100000,10,0
nsn_p2_moderate_imbalanced,6,coordinate_6,1.0235301887505646,0.0015982504832692316,100000,10,0
nsn_p2_moderate_imbalanced,7,coordinate_7,1.0155037515162206,0.0030649110487579803,100000,10,0
nsn_p2_moderate_imbalanced,8,coordinate_8,0.015589884426808271,0.0011963349946194067,100000,10,0
nsn_p2_moderate_imbalanced,9,coordinate_9,-0.11878099259858535,0.0016350601597056715,100000,10,0
nsn_p2_moderate_imbalanced,10,coordinate_10,-0.006228311216908736,0.0019645614404178845,100000,10,0
nsn_p2_moderate_imbalanced,11,coordinate_11,3.000920830062534,0.012693512332024252,100000,10,0
nsn_p2_moderate_imbalanced,12,coordinate_12,-1.9340721560969882,0.012403456397302098,100000,10,0
