scenario,coordinate,coordinate_name,target,target_mcse,reference_size,successful_references,failed_references
nt_p2_moderate_imbalanced,0,coordinate_0,-6.7715171677103765,0.9432750295737843,100000,10,0
nt_p2_moderate_imbalanced,1,coordinate_1,-1.690648601506545,0.30342699174818116,100000,10,0
nt_p2_moderate_imbalanced,2,coordinate_2,-1.7517610849693377,0.310557791320312,100000,10,0
nt_p2_moderate_imbalanced,3,coordinate_3,-2.7258078313106155,0.3477290983430823,100000,10,0
nt_p2_moderate_imbalanced,4,coordinate_4,-0.0054810462222818325,0.02810851799352885,100000,10,0
nt_p2_moderate_imbalanced,5,coordinate_5,-3.063544210427425,0.37631645235156314,100000,10,0
nt_p2_moderate_imbalanced,6,coordinate_6,0.46392151285043237,0.20588602508298562,100000,10,0
nt_p2_moderate_imbalanced,7,coordinate_7,0.4627206489094243,0.20450594967613284,100000,10,0
nt_p2_moderate_imbalanced,8,coordinate_8,0.23448673605932574,0.05821463723062879,100000,10,0
nt_p2_moderate_imbalanced,9,coordinate_9,0.5721780492466993,0.08158221085684786,100000,10,0
nt_p2_moderate_imbalanced,10,coordinate_10,0.10904275888382453,0.04826883331022597,100000,10,0
nt_p2_moderate_imbalanced,11,coordinate_11,1.853050618730041,0.18699368413656808,100000,10,0
