scenario,coordinate,coordinate_name,target,target_mcse,reference_size,successful_references,failed_references
nt_p2_moderate_imbalanced,0,coordinate_0,-1.3693827776865604,0.028930246365516762,5000,3,0
nt_p2_moderate_imbalanced,1,coordinate_1,-2.0710439619903624,0.006552373943660031,5000,3,0
nt_p2_moderate_imbalanced,2,coordinate_2,-2.1200977213430323,0.01991381845305935,5000,3,0
nt_p2_moderate_imbalanced,3,coordinate_3,0.0048979442008870435,0.011496640615186134,5000,3,0
nt_p2_moderate_imbalanced,4,coordinate_4,0.22853731380604328,0.022784633832825224,5000,3,0
nt_p2_moderate_imbalanced,5,coordinate_5,-0.032841077438593526,0.02187636542308974,5000,3,0
nt_p2_moderate_imbalanced,6,coordinate_6,2.1257842808109526,0.004623163736749239,5000,3,0
nt_p2_moderate_imbalanced,7,coordinate_7,2.1267904240352,0.007147839690914563,5000,3,0
nt_p2_moderate_imbalanced,8,coordinate_8,0.05586140901572186,0.011182001574458289,5000,3,0
nt_p2_moderate_imbalanced,9,coordinate_9,0.19513847801563208,0.0014656244897713851,5000,3,0
nt_p2_moderate_imbalanced,10,coordinate_10,0.028728424299538494,0.006038685509181521,5000,3,0
nt_p2_moderate_imbalanced,11,coordinate_11,1.5375061516308592,0.014655655330136063,5000,3,0
