scenario,coordinate,coordinate_name,target,target_mcse,reference_size,successful_references,failed_references
nt_p2_strong_balanced,0,coordinate_0,0.1719511896229948,0.02662720152857784,5000,3,0
nt_p2_strong_balanced,1,coordinate_1,-1.0541892867430283,0.006810615805761867,5000,3,0
nt_p2_strong_balanced,2,coordinate_2,-1.0766658027336418,0.007074536770031868,5000,3,0
nt_p2_strong_balanced,3,coordinate_3,-0.03529325936236865,0.0031127262525472077,5000,3,0
nt_p2_strong_balanced,4,coordinate_4,0.136251461947943,0.013591652231844484,5000,3,0
nt_p2_strong_balanced,5,coordinate_5,-0.06241945457008569,0.006362342428879183,5000,3,0
nt_p2_strong_balanced,6,coordinate_6,1.1970323536568608,0.01700509823957852,5000,3,0
nt_p2_strong_balanced,7,coordinate_7,1.1964872111386204,0.017726312762182474,5000,3,0
nt_p2_strong_balanced,8,coordinate_8,-0.053897033080771095,0.016439475011239137,5000,3,0
nt_p2_strong_balanced,9,coordinate_9,-0.011183016655079642,0.005113306596948361,5000,3,0
nt_p2_strong_balanced,10,coordinate_10,-0.09459564357682711,0.014954180432944929,5000,3,0
nt_p2_strong_balanced,11,coordinate_11,1.461320815436008,0.0539076338325256,5000,3,0
