scenario,coordinate,coordinate_name,target,target_mcse,reference_size,successful_references,failed_references
nsn_p5_strong_balanced,0,coordinate_0,-0.01040012941176538,0.0025717217596686577,5000,3,0
nsn_p5_strong_balanced,1,coordinate_1,-0.8707341442834297,0.01604177259044226,5000,3,0
nsn_p5_strong_balanced,2,coordinate_2,-0.8452685885341924,0.01239145715155504,5000,3,0
nsn_p5_strong_balanced,3,coordinate_3,-0.8559515956640932,0.008446488287574272,5000,3,0
nsn_p5_strong_balanced,4,coordinate_4,-0.8545774388945239,0.013025513785792878,5000,3,0
nsn_p5_strong_balanced,5,coordinate_5,-0.8492483879031703,0.003685685522349548,5000,3,0
nsn_p5_strong_balanced,6,coordinate_6,-0.02504918950349096,0.015109256709932036,5000,3,0
nsn_p5_strong_balanced,7,coordinate_7,0.22136468302006643,0.01240463069097705,5000,3,0
nsn_p5_strong_balanced,8,coordinate_8,-0.025150944008342207,0.001977051548267302,5000,3,0
nsn_p5_strong_balanced,9,coordinate_9,0.023367003875339392,0.012329269593867369,5000,3,0
nsn_p5_strong_balanced,10,coordinate_10,0.2349523997219333,0.00826202800418893,5000,3,0
nsn_p5_strong_balanced,11,coordinate_11,-0.03378565957801703,0.00640178940785726,5000,3,0
nsn_p5_strong_balanced,12,coordinate_12,-0.021661429177404278,0.011859743935417028,5000,3,0
nsn_p5_strong_balanced,13,coordinate_13,0.06210320405204767,0.009160580634299323,5000,3,0
nsn_p5_strong_balanced,14,coordinate_14,0.2192728658941692,0.001584252938907886,5000,3,0
nsn_p5_strong_balanced,15,coordinate_15,-0.051458720608726936,0.019178489950567333,5000,3,0
nsn_p5_strong_balanced,16,coordinate_16,-0.0305682094992502,0.014625092810507754,5000,3,0
nsn_p5_strong_balanced,17,coordinate_17,0.00145259808366273,0.019275910091059736,5000,3,0
nsn_p5_strong_balanced,18,coordinate_18,0.022541274808769815,0.006207010691655705,5000,3,0
nsn_p5_strong_balanced,19,coordinate_19,0.23344837225541992,0.023306475974197053,5000,3,0
nsn_p5_strong_balanced,20,coordinate_20,-0.04010642020565234,0.014957647152967631,5000,3,0
nsn_p5_strong_balanced,21,coordinate_21,0.8079624085251043,0.016272241599606573,5000,3,0
nsn_p5_strong_balanced,22,coordinate_22,0.8071724295533081,0.0045113888461253355,5000,3,0
nsn_p5_strong_balanced,23,coordinate_23,0.8730720362924876,0.03075361383645081,5000,3,0
nsn_p5_strong_balanced,24,coordinate_24,0.8096788631159484,0.01919513805290578,5000,3,0
nsn_p5_strong_balanced,25,coordinate_25,0.847535522606532,0.015682400405127726,5000,3,0
nsn_p5_strong_balanced,26,coordinate_26,0.02064447156332186,0.01307825184829079,5000,3,0
nsn_p5_strong_balanced,27,coordinate_27,-0.15246400762414447,0.013823478244088406,5000,3,0
nsn_p5_strong_balanced,28,coordinate_28,-0.030184031830661862,0.006292390753516949,5000,3,0
nsn_p5_strong_balanced,29,coordinate_29,-0.0004130751831886645,0.019437623335525855,5000,3,0
nsn_p5_strong_balanced,30,coordinate_30,-0.12702224908941231,0.018577765161306613,5000,3,0
nsn_p5_strong_balanced,31,coordinate_31,-0.019234641057710073,0.010343055949249414,5000,3,0
nsn_p5_strong_balanced,32,coordinate_32,0.015267276569203148,0.01800029595423343,5000,3,0
nsn_p5_strong_balanced,33,coordinate_33,0.011133760740163845,0.011967656068912655,5000,3,0
nsn_p5_strong_balanced,34,coordinate_34,-0.1437951671967009,0.017229254348894756,5000,3,0
nsn_p5_strong_balanced,35,coordinate_35,-0.019192159219059524,0.004364763028393544,5000,3,0
nsn_p5_strong_balanced,36,coordinate_36,-0.02188159136859917,0.0036118001393580755,5000,3,0
nsn_p5_strong_balanced,37,coordinate_37,-0.01145089619560614,0.022994201026696123,5000,3,0
nsn_p5_strong_balanced,38,coordinate_38,0.012874990816442574,0.021925695611140324,5000,3,0
nsn_p5_strong_balanced,39,coordinate_39,-0.15704442676556574,0.009363795588142756,5000,3,0
nsn_p5_strong_balanced,40,coordinate_40,-0.008081081384598147,0.019366243824100085,5000,3,0
nsn_p5_strong_balanced,41,coordinate_41,3.417959715629575,0.08757808590478436,5000,3,0
nsn_p5_strong_balanced,42,coordinate_42,-2.039254196458445,0.03333761315009874,5000,3,0
nsn_p5_strong_balanced,43,coordinate_43,-0.1034304245586678,0.08794181168259917,5000,3,0
nsn_p5_strong_balanced,44,coordinate_44,0.09930417705180959,0.00456998165471908,5000,3,0
nsn_p5_strong_balanced,45,coordinate_45,-0.07593353854747652,0.06495248515117348,5000,3,0
