scenario,coordinate,coordinate_name,target,target_mcse,reference_size,successful_references,failed_references
nt_p5_strong_balanced,0,coordinate_0,0.10251610214843021,0.023661266047746116,5000,3,0
nt_p5_strong_balanced,1,coordinate_1,-0.8502408503319524,0.011691375218733037,5000,3,0
nt_p5_strong_balanced,2,coordinate_2,-0.8396376443331933,0.010484986621917488,5000,3,0
nt_p5_strong_balanced,3,coordinate_3,-0.8273673096058237,0.013422087607346266,5000,3,0
nt_p5_strong_balanced,4,coordinate_4,-0.837753064452554,0.027577210179145755,5000,3,0
nt_p5_strong_balanced,5,coordinate_5,-0.8364887796307694,0.011262795582501286,5000,3,0
nt_p5_strong_balanced,6,coordinate_6,-0.010847019577877606,0.015675761248731622,5000,3,0
nt_p5_strong_balanced,7,coordinate_7,0.20973862491921588,0.0057308991764573524,5000,3,0
nt_p5_strong_balanced,8,coordinate_8,-0.027297247994015606,0.004976568231920798,5000,3,0
nt_p5_strong_balanced,9,coordinate_9,0.03451001893373362,0.008916245512173503,5000,3,0
nt_p5_strong_balanced,10,coordinate_10,0.22573689564627222,0.00705351051753045,5000,3,0
nt_p5_strong_balanced,11,coordinate_11,-0.02634611850330817,0.014488520162644503,5000,3,0
nt_p5_strong_balanced,12,coordinate_12,-0.01678853522958909,0.017105631078114428,5000,3,0
nt_p5_strong_balanced,13,coordinate_13,0.03925162523928605,0.0043010066595263454,5000,3,0
nt_p5_strong_balanced,14,coordinate_14,0.2133416659161637,0.0078334138598258,5000,3,0
nt_p5_strong_balanced,15,coordinate_15,-0.05032587464549715,0.013169390958460108,5000,3,0
nt_p5_strong_balanced,16,coordinate_16,-0.04609095653736545,0.01326523785750694,5000,3,0
nt_p5_strong_balanced,17,coordinate_17,-0.03498843186524283,0.019736505072158995,5000,3,0
nt_p5_strong_balanced,18,coordinate_18,0.0286187628822993,0.00578147962945414,5000,3,0
nt_p5_strong_balanced,19,coordinate_19,0.21690929435724735,0.017268880416942228,5000,3,0
nt_p5_strong_balanced,20,coordinate_20,-0.03894327082465054,0.007510680573709388,5000,3,0
nt_p5_strong_balanced,21,coordinate_21,0.9021690932117554,0.010575471782371787,5000,3,0
nt_p5_strong_balanced,22,coordinate_22,0.9118308768756044,0.023690477972384605,5000,3,0
nt_p5_strong_balanced,23,coordinate_23,0.8728337068031228,0.015337819736402953,5000,3,0
nt_p5_strong_balanced,24,coordinate_24,0.9010141914496709,0.011953569344708908,5000,3,0
nt_p5_strong_balanced,25,coordinate_25,0.8961047510281291,0.025498677324077717,5000,3,0
nt_p5_strong_balanced,26,coordinate_26,0.006887311515202738,0.011686851843373926,5000,3,0
nt_p5_strong_balanced,27,coordinate_27,0.13322646418012982,0.02001688458339272,5000,3,0
nt_p5_strong_balanced,28,coordinate_28,0.01819994145570626,0.013983775901003628,5000,3,0
nt_p5_strong_balanced,29,coordinate_29,0.02230354744887493,0.02155373747429947,5000,3,0
nt_p5_strong_balanced,30,coordinate_30,0.15087006056181185,0.03125619699468522,5000,3,0
nt_p5_strong_balanced,31,coordinate_31,0.00914197203559844,0.003058951958338814,5000,3,0
nt_p5_strong_balanced,32,coordinate_32,-0.05000990216278737,0.016867159455280185,5000,3,0
nt_p5_strong_balanced,33,coordinate_33,-0.011378857032531624,0.01056671189941874,5000,3,0
nt_p5_strong_balanced,34,coordinate_34,0.170506433328091,0.00923115692921516,5000,3,0
nt_p5_strong_balanced,35,coordinate_35,0.0018537307322104128,0.016993320269810593,5000,3,0
nt_p5_strong_balanced,36,coordinate_36,-0.0646348913747994,0.02085547105807489,5000,3,0
nt_p5_strong_balanced,37,coordinate_37,-0.10236298349157479,0.019279192852798707,5000,3,0
nt_p5_strong_balanced,38,coordinate_38,0.008686937050210793,0.02136178460500833,5000,3,0
nt_p5_strong_balanced,39,coordinate_39,0.15221740744540022,0.017789572221528407,5000,3,0
nt_p5_strong_balanced,40,coordinate_40,0.0088794363841872,0.012478010958223353,5000,3,0
nt_p5_strong_balanced,41,coordinate_41,1.375072415346418,0.027645533183106454,5000,3,0
